Type,Sentence
Geography,Question: What is the widest river in the world?; Answer: Amazon River. Question: What is the capital of Denmark?; Answer: Copenhagen. Question: What country has the most pyramids?; Answer:
Geography,Question: What is the capital of Cuba?; Answer: Havana. Question: What is the largest plateau in the world?; Answer: Tibetan Plateau. Question: What is the capital of Pakistan?; Answer:
Geography,Question: What country has the most time zones?; Answer: France. Question: What is the capital of New Zealand?; Answer: Wellington. Question: What country has the longest river?; Answer:
Geography,"Question: What is the capital of Austria?; Answer: Vienna. Question: What is the longest reef on Earth?; Answer: Great Barrier Reef, Australia. Question: What is the capital of Norway?; Answer:"
Geography,Question: What is the smallest ocean in the world?; Answer: Arctic Ocean. Question: What is the capital of Switzerland?; Answer: Bern. Question: Where is Mount Kilimanjaro located?; Answer:
Geography,Question: What is the capital of Netherlands?; Answer: Amsterdam. Question: What is the largest lake in South America?; Answer: Lake Titicaca. Question: What is the capital of Philippines?; Answer:
Geography,Question: What is the largest gulf in the world?; Answer: The Gulf of Mexico. Question: What is the capital of Belgium?; Answer: Brussels. Question: What continent has the most countries?; Answer:
Geography,Question: What is the capital of Algeria?; Answer: Algiers. Question: What is the longest river in Europe?; Answer: Volga River. Question: What is the capital of Vietnam?; Answer:
Geography,"Question: What is the highest waterfall in the world?; Answer: Angel Falls, Venezuela. Question: What is the capital of Argentina?; Answer: Buenos Aires. Question: What country has the most volcanoes?; Answer:"
Geography,Question: What is the capital of Colombia?; Answer: Bogota. Question: What is the largest forest in the world?; Answer: The Amazon Rainforest. Question: What is the capital of Iraq?; Answer:
Geography,Question: In which country can you find the K2 mountain?; Answer: Pakistan. Question: What is the capital of Afghanistan?; Answer: Kabul. Question: What country has the most UNESCO World Heritage sites?; Answer:
Geography,Question: What is the capital of Sweden?; Answer: Stockholm. Question: What is the smallest country in Asia by land area?; Answer: Maldives. Question: What is the capital of Finland?; Answer:
Geography,"Question: What is the hottest place on Earth?; Answer: Lut Desert, Iran. Question: What is the capital of Ukraine?; Answer: Kyiv. Question: Where is the Atacama Desert located?; Answer:"
Geography,Question: What is the capital of Taiwan?; Answer: Taipei. Question: What is the largest country in the Western Hemisphere by land area?; Answer: Canada. Question: What is the capital of South Sudan?; Answer:
Geography,Question: What is the second largest country in the world?; Answer: Canada. Question: What is the capital of Zambia?; Answer: Lusaka. Question: What is the longest continental mountain range in the world?; Answer:
Geography,"Question: What is the capital of Ethiopia?; Answer: Addis Ababa. Question: Where is the world's largest salt flat?; Answer: Salar de Uyuni, Bolivia. Question: What is the capital of Greece?; Answer:"
Geography,Question: What is the largest country in the Middle East?; Answer: Saudi Arabia. Question: What is the capital of North Macedonia?; Answer: Skopje. Question: Who is the largest producer of coffee in the world?; Answer:
Geography,Question: What is the capital of Poland?; Answer: Warsaw. Question: What is the largest non-polar desert in the world?; Answer: Sahara. Question: What is the capital of Hungary?; Answer:
Geography,Question: What is the highest lake in the world?; Answer: Lake Titicaca. Question: What is the capital of Nepal?; Answer: Kathmandu. Question: In which country would you find the Angel Falls?; Answer:
Geography,Question: What is the capital of Lebanon?; Answer: Beirut. Question: What is the longest country in the world?; Answer: Chile. Question: What is the capital of Slovenia?; Answer:
Geography,Question: What country has the biggest population in Europe?; Answer: Russia. Question: What is the capital of Latvia?; Answer: Riga. Question: What country has the most natural gas reserves?; Answer:
Geography,"Question: What is the capital of Syria?; Answer: Damascus. Question: What is the biggest port in the world?; Answer: Port of Shanghai, China. Question: What is the capital of Tibet?; Answer:"
Geography,"Question: What is the largest coral atoll in the world?; Answer: Kwajalein, Marshall Islands. Question: What is the capital of Bhutan?; Answer: Thimphu. Question: What is the largest river basin in the world?; Answer:"
Geography,Question: What is the capital of Serbia?; Answer: Belgrade. Question: What is the highest navigable lake in the world?; Answer: Lake Titicaca. Question: What is the capital of Armenia?; Answer:
Geography,Question: What is the deepest point in the ocean?; Answer: Challenger deep in the Mariana Trench. Question: What is the capital of Uruguay?; Answer: Montevideo. Question: What is the world's largest inland sea?; Answer:
Geography,"Question: What is the capital of Jordan?; Answer: Amman. Question: On which continent is the world's longest river, the Nile?; Answer: Africa. Question: What is the capital of Paraguay?; Answer:"
Geography,"Question: In which country is the world's highest volcano, Ojos del Salado?; Answer: Chile-Argentina border. "
History,Question: When was the United States founded?; Answer: 1776. Question: Who was the first President of the United States?; Answer: George Washington. Question: When was the Magna Carta signed?; Answer:
History,Question: Who discovered America?; Answer: Christopher Columbus. Question: When did the American Civil War start?; Answer: 1861. Question: Who was responsible for the Great Fire of London?; Answer:
History,Question: Who invented the telephone?; Answer: Alexander Graham Bell. Question: When was the French Revolution?; Answer: 1789-1799. Question: Who discovered gravity?; Answer:
History,Question: Who wrote the Declaration of Independence?; Answer: Thomas Jefferson. Question: When was the Great Wall of China built?; Answer: Between 7th century BC and 16th century AD. Question: Who was the longest-reigning British monarch?; Answer:
History,Question: When did World War II end?; Answer: 1945. Question: Who was the first man to walk on the moon?; Answer: Neil Armstrong. Question: When did the Titanic sink?; Answer:
History,Question: Who assassinated President Lincoln?; Answer: John Wilkes Booth. Question: When was the first atomic bomb dropped?; Answer: 1945. Question: Who discovered penicillin?; Answer:
History,Question: When was the United Nations formed?; Answer: 1945. Question: Who was the first woman to fly solo across the Atlantic?; Answer: Amelia Earhart. Question: When was the Berlin Wall built?; Answer:
History,"Question: Who abolished slavery in the United States?; Answer: Abraham Lincoln. Question: When was Internet invented?; Answer: The concept came about in the 1960s, and the World Wide Web was invented in 1989. Question: Who won the Battle of Waterloo?; Answer:"
History,Question: When did India gain independence?; Answer: 1947. Question: Who was the first emperor of China?; Answer: Qin Shi Huang. Question: When was the European Union Formed?; Answer:
History,Question: Who was the first African American to serve as U.S president?; Answer: Barack Obama. Question: When did apartheid end in South Africa?; Answer: 1994. Question: Who designed the Eiffel Tower?; Answer:
History,Question: When was the Renaissance?; Answer: The 14th to the 17th century. Question: Who was the first woman Prime Minister of the United Kingdom?; Answer: Margaret Thatcher. Question: When was the first moon landing?; Answer:
History,Question: Who painted the Sistine Chapel?; Answer: Michelangelo. Question: When was the American Declaration of Independence signed?; Answer: 1776. Question: Who led the civil rights movement in the United States?; Answer:
History,Question: When did the Great Depression start?; Answer: 1929. Question: Who built the Pyramids of Giza?; Answer: Pharaohs of Egypt during the Old Kingdom. Question: When was the Russian Revolution?; Answer:
History,Question: Who discovered the structure of DNA?; Answer: James Watson and Francis Crick. Question: When was the United States Constitution written?; Answer: 1787. Question: Who was the last Tsar of Russia?; Answer:
History,Question: When was the Panama Canal opened?; Answer: 1914. Question: Who was the first person in space?; Answer: Yuri Gagarin. Question: When did the Cold War end?; Answer:
History,"Question: Who invented the light bulb?; Answer: Thomas Edison. Question: When did Canada gain independence?; Answer: 1867. Question: Who wrote the plays Othello, Hamlet, and Romeo and Juliet?; Answer:"
History,Question: When did the Roman Empire start?; Answer: 27 BC. Question: Who wrote the U.S. national anthem?; Answer: Francis Scott Key. Question: When was the first manned flight?; Answer:
History,Question: Who was known as the Maid of Orleans?; Answer: Joan of Arc. Question: When did the Spanish Inquisition begin?; Answer: 1478. Question: Who commissioned the Lewis and Clark expedition?; Answer:
History,Question: When was the Battle of Gettysburg?; Answer: 1863. Question: Who won the Spanish-American War?; Answer: The United States. Question: When did the Ottoman Empire fall?; Answer:
History,Question: Who was the first Chancellor of West Germany?; Answer: Konrad Adenauer. Question: When did the Renaissance in Italy begin?; Answer: 14th Century. Question: Who discovered the law of the photoelectric effect?; Answer:
History,"Question: When did China's Cultural Revolution begin?; Answer: 1966. Question: Who succeeded Queen Victoria?; Answer: King Edward VII. Question: When was Martin Luther King, Jr.'s ""I Have a Dream"" speech?; Answer:"
History,Question: Who discovered radium?; Answer: Marie Curie and Pierre Curie. Question: When did the construction of Machu Picchu likely complete?; Answer: 1450. Question: Who wrote The Communist Manifesto?; Answer:
History,Question: When did the Boston Tea Party happen?; Answer: 1773. Question: Who became president of the United States after Franklin D. Roosevelt?; Answer: Harry S. Truman. Question: When did the Korean War begin?; Answer:
History,"Question: Who is known as the ""Father of India""?; Answer: Mahatma Gandhi. Question: When did Alaska become a state?; Answer: 1959. Question: Who discovered calculus?; Answer:"
History,Question: When was the Industrial Revolution?; Answer: Mid-18th to mid-19th Century. Question: Who was the first Roman Emperor?; Answer: Augustus. Question: When did Napoleon Bonaparte die?; Answer:
History,"Question: Who founded Buddhism?; Answer: Siddhartha Gautama, the Buddha. Question: When did the Vietnam War end?; Answer: 1975. Question: Who wrote War and Peace?; Answer:"
History,Question: When was the Magna Carta sealed?; Answer: 1215. Question: Who was the last monarch of the Tudor dynasty?; Answer: Queen Elizabeth I. Question: When did the Chernobyl disaster happen?; Answer:
History,Question: Who wrote the Iliad and the Odyssey?; Answer: Homer. Question: When did the British Empire abolish the slave trade?; Answer: 1807. Question: Who discovered the polio vaccine?; Answer:
History,Question: When was the French and Indian War?; Answer: 1754 - 1763. Question: Who was the first European to sail around the Cape of Good Hope?; Answer: Bartolomeu Dias. Question: When did the Battle of Hastings occur?; Answer:
History,"Question: Who was Pharaoh during the Exodus in the Bible?; Answer: The Bible does not name him, but it is often believed to be Ramses II.. Question: When was the era of prohibition in the United States?; Answer: 1920 - 1933. Question: Who was the first female Prime Minister of Israel?; Answer:"
History,Question: When was the original Star Wars film released?; Answer: 1977. Question: Who completed the first circumnavigation of the Earth?; Answer: Juan Sebastián Elcano (he took over after Ferdinand Magellan's death). Question: When was the Suez Canal completed?; Answer:
History,Question: Who developed the theory of relativity?; Answer: Albert Einstein. Question: When did the California Gold Rush begin?; Answer: 1848. Question: Who led the Argonauts in Greek mythology?; Answer:
History,Question: When was the Great Plague of London?; Answer: 1665-1666. Question: Who wrote the US Pledge of Allegiance?; Answer: Francis Bellamy. Question: When did the ancient Egyptian civilization begin?; Answer:
History,Question: Who designed the Statue of Liberty?; Answer: Frédéric Auguste Bartholdi. Question: When was the Battle of Thermopylae?; Answer: 480 BC. Question: Who was the first Prime Minister of Australia?; Answer:
History,Question: When did the Mount St. Helens eruption occur?; Answer: 1980. Question: Who wrote the Theory of Evolution?; Answer: Charles Darwin. Question: When was the Bay of Pigs invasion?; Answer:
History,Question: Who was the first king of Israel?; Answer: Saul. Question: When did the Manhattan Project start?; Answer: 1939. Question: Who was the first president of the Russian Federation?; Answer:
History,Question: When was Facebook launched?; Answer: 2004. Question: Who discovered Australia?; Answer: Captain James Cook. Question: When was the Silk Road established?; Answer:
History,Question: Who was the first Pharaoh of Egypt?; Answer: Narmer. Question: When was the Norman Conquest of England?; Answer: 1066. Question: Who was the longest-reigning monarch in history?; Answer:
History,Question: When did Ghana gain independence?; Answer: 1957. Question: Who was the Prime Minister of Britain during the signing of the Treaty of Versailles?; Answer: David Lloyd George. Question: When did the Inca Empire fall to the Spanish conquistadors?; Answer:
History,"Question: Who was known as the Iron Chancellor?; Answer: Otto von Bismarck. Question: Who is the longest reigning monarch in history?; Answer: Louis XIV of France, reigned for 72 years. Question: Who was the President of the United States during World War I?; Answer:"
History,Question: When did the American Revolution end?; Answer: 1783. Question: Who was the leader of the Soviet Union during World War II?; Answer: Joseph Stalin. Question: Who was the queen of England during the Spanish Armada?; Answer:
History,Question: When did New Zealand gain independence?; Answer: 1907. Question: Who invented the World Wide Web?; Answer: Tim Berners-Lee. Question: Which civil rights activist refused to give up her bus seat in Montgomery in 1955?; Answer:
History,Question: When was the pacemaker invented?; Answer: 1950. Question: Who assassinated Archduke Franz Ferdinand?; Answer: Gavrilo Princip. Question: When did the Spanish Civil War end?; Answer:
History,Question: Who wrote the American Bill of Rights?; Answer: James Madison. Question: When did the United Nations charter come into effect?; Answer: 1945. Question: Who was the king of England during the American Revolution?; Answer:
History,Question: When was the Islamic Golden Age?; Answer: 8th to 14th century. Question: Who was the first female justice on the U.S. Supreme Court?; Answer: Sandra Day O'Connor. Question: When was slavery abolished in the U.S.?; Answer:
History,Question: Who was the first explorer to reach the South Pole?; Answer: Roald Amundsen. Question: When did the Cuban Missile Crisis occur?; Answer: 1962. Question: Who was the first democratically elected President of Russia?; Answer:
History,Question: When did India and Pakistan gain independence from Britain?; Answer: 1947. Question: Who was the first American astronaut to orbit the Earth?; Answer: John Glenn. Question: When was the atom first split?; Answer:
History,Question: Who discovered penicillin?; Answer: Alexander Fleming. Question: When did China become the People's Republic of China?; Answer: 1949. Question: Who was the Roman Emperor at the time of Christ's birth?; Answer:
History,Question: When did the Berlin Wall fall?; Answer: 1989. Question: Who had the last successful invasion of England?; Answer: William the Conqueror. Question: When did Canada become a nation?; Answer:
History,"Question: Who won the Space Race?; Answer: The USSR, by launching the first man into space. Question: When was the Magna Carta signed?; Answer: 1215. Question: Who was the first President of Indonesia?; Answer:"
History,"Question: When did the Hundred Years War end?; Answer: 1453. Question: Who were the Axis Powers in WWII?; Answer: Germany, Italy, and Japan. Question: When were the Hawaiian islands discovered by Europeans?; Answer:"
History,"Question: Who was president during the Louisiana Purchase?; Answer: Thomas Jefferson. Question: When was the Battle of Gettysburg?; Answer: July 1-3, 1863. Question: Who was the British Prime Minister at the start of World War II?; Answer:"
History,"Question: When did South Africa gain its independence?; Answer: May 31, 1910. Question: Who was Martin Luther King Jr.?; Answer: An American civil rights leader. Question: When was the Declaration of Independence signed?; Answer:"
History,Question: Who led the Continental Army in the American Revolution?; Answer: George Washington. Question: When was the League of Nations founded?; Answer: 1920. Question: Who was the first African American Major League Baseball player?; Answer:
History,Question: When did World War II end?; Answer: 1945. Question: Who was the emperor of Japan during World War II?; Answer: Emperor Hirohito. Question: When did Vladimir Lenin die?; Answer:
History,Question: Who physical discovered the North Pole?; Answer: Robert Peary. Question: When was the French revolution?; Answer: 1789-1799. Question: Who was the Roman Emperor during the Great Fire of Rome?; Answer:
History,Question: When were the pyramids at Giza built?; Answer: Around 2580-2560 BC. Question: Who is the Prima ballerina of ballerina of the Bolshoi Ballet in 1960?; Answer: Maya Plisetskaya. Question: When did Prohibition Begin and End?; Answer:
History,Question: Who led the Russian revolution?; Answer: Vladimir Lenin. Question: When did the Vietnam War end?; Answer: 1975. Question: Who was the head of the Catholic Church during the Second Vatican Council?; Answer:
History,Question: When was the Suez canal completed?; Answer: 1869. Question: Who was the longest reigning Pope?; Answer: Pope Saint Peter. Question: When did Finland gain its independence?; Answer:
History,Question: Who was the first President of Egypt?; Answer: Muhammad Naguib. Question: When did the first European settlers arrive in Australia?; Answer: 1788. Question: Who discovered Machu Picchu?; Answer:
History,Question: When did the atomic bombing of Hiroshima occur?; Answer: 1945. Question: Who painted the Mona Lisa?; Answer: Leonardo da Vinci. Question: When did the major volcanic eruption on Krakatoa occur?; Answer:
History,Question: Who was the leader of the Nazi Party?; Answer: Adolf Hitler. Question: When was Apollo 11 launched?; Answer: 1969. Question: Who was the first European to reach the Americas?; Answer:
History,Question: When was the Constitution of the United States ratified?; Answer: 1788. Question: Who was the founder of the Mongol Empire?; Answer: Genghis Khan. Question: When did the Roman Empire fall?; Answer:
History,Question: Who was the President of the Confederate States during the American Civil War?; Answer: Jefferson Davis. Question: When was the Louvre Museum established?; Answer: 1793. 
Literature,Question: Who wrote 'To Kill a Mockingbird'?; Answer: Harper Lee. Question: What is the famous novel of F. Scott Fitzgerald?; Answer: The Great Gatsby. Question: Who is the author of '1984'?; Answer:
Literature,Question: 'Moby Dick' is a novel by which author?; Answer: Herman Melville. Question: Who wrote 'Pride and Prejudice'?; Answer: Jane Austen. Question: What is Shakespeare's earliest tragedy?; Answer:
Literature,Question: What epic poem was written by Dante?; Answer: The Divine Comedy. Question: Who wrote 'The Odyssey'?; Answer: Homer. Question: In what novel do you find the character Harry Potter?; Answer:
Literature,Question: Who is the author of 'A Tale Of Two Cities'?; Answer: Charles Dickens. Question: Who wrote the play 'Waiting for Godot'?; Answer: Samuel Beckett. Question: 'Les Miserables' is a work by which author?; Answer:
Literature,Question: What is the famous novel of Leo Tolstoy?; Answer: War and Peace. Question: Who wrote 'Crime and Punishment'?; Answer: Fyodor Dostoevsky. Question: Who is the author of 'The Iliad'?; Answer:
Literature,"Question: What are the four novels of 'The Rabbit Series' by John Updike?; Answer: Rabbit, Run; Rabbit Redux; Rabbit is Rich; Rabbit at Rest. Question: Who wrote 'The Catcher in the Rye'?; Answer: J.D. Salinger. Question: Who is the author of 'Of Mice and Men'?; Answer:"
Literature,Question: What is Ernest Hemingway's novel about the Spanish Civil War?; Answer: For Whom the Bell Tolls. Question: Who wrote 'Sense and Sensibility'?; Answer: Jane Austen. Question: What book series did C.S. Lewis write?; Answer:
Literature,Question: Who wrote 'The Grapes of Wrath'?; Answer: John Steinbeck. Question: Who is the author of 'War and Peace'?; Answer: Leo Tolstoy. Question: Who wrote 'The Great Expectations'?; Answer:
Literature,Question: Who is the author of 'Dracula'?; Answer: Bram Stoker. Question: Who wrote 'David Copperfield'?; Answer: Charles Dickens. Question: Who is the author of 'The Little Prince'?; Answer:
Literature,Question: Who wrote 'The Hobbit'?; Answer: J.R.R. Tolkien. Question: Who is the author of 'Mansfield Park'?; Answer: Jane Austen. Question: Who wrote 'The Adventures of Tom Sawyer'?; Answer:
Literature,Question: Who is the author of 'Oliver Twist'?; Answer: Charles Dickens. Question: Who wrote 'Around the World in Eighty Days'?; Answer: Jules Verne. Question: Who is the author of 'Hamlet'?; Answer:
Literature,Question: Who wrote 'The Secret Garden'?; Answer: Frances Hodgson Burnett. Question: Who is the author of 'Don Quixote'?; Answer: Miguel de Cervantes Saavedra. Question: Who wrote 'Frankenstein'?; Answer:
Literature,Question: Who is the author of 'The Color Purple'?; Answer: Alice Walker. Question: What epic poem was written by John Milton?; Answer: Paradise Lost. Question: Who is the author of 'Pilgrim's Progress'?; Answer:
Literature,Question: Who wrote 'Catch-22'?; Answer: Joseph Heller. Question: Who is the author of 'Emma'?; Answer: Jane Austen. Question: Who wrote 'Lolita'?; Answer:
Literature,Question: Who is the author of 'The Tempest'?; Answer: William Shakespeare. Question: Who wrote 'Heart of Darkness'?; Answer: Joseph Conrad. Question: Who is the author of 'The Scarlet Letter'?; Answer:
Literature,Question: Who wrote 'Ulysses'?; Answer: James Joyce. Question: Who is the author of 'Middlemarch'?; Answer: George Eliot. Question: Who wrote 'The Metamorphosis'?; Answer:
Literature,Question: Who is the author of 'Anne of Green Gables'?; Answer: L. M. Montgomery. Question: Who wrote 'The Jungle Book'?; Answer: Rudyard Kipling. Question: What is Mark Twain's real name?; Answer:
Literature,Question: Who wrote 'Wuthering Heights'?; Answer: Emily Brontë. Question: Who wrote 'Madame Bovary'?; Answer: Gustave Flaubert. Question: Who is the author of 'Persuasion'?; Answer:
Literature,"Question: Who wrote 'Slaughterhouse-Five'?; Answer: Kurt Vonnegut. Question: Who wrote 'A Farewell to Arms'?; Answer: Ernest Hemingway. Question: What novel starts with the line 'It was a bright cold day in April, and the clocks were striking thirteen.'?; Answer:"
Literature,Question: Who wrote 'Treasure Island'?; Answer: Robert Louis Stevenson. Question: Who is the author of 'Moby-Dick'?; Answer: Herman Melville. Question: What epic poem was written by Homer?; Answer:
Literature,Question: Who wrote 'A Streetcar Named Desire'?; Answer: Tennessee Williams. Question: Who wrote 'The Old Man and the Sea'?; Answer: Ernest Hemingway. Question: Who is the author of 'A Clockwork Orange'?; Answer:
Literature,Question: Who wrote 'Brave New World'?; Answer: Aldous Huxley. Question: In which Ray Bradbury novel does the protagonist work as a 'fireman'?; Answer: Fahrenheit 451. Question: Who wrote 'One Hundred Years of Solitude'?; Answer:
Literature,Question: What is the real name of George Eliot?; Answer: Mary Ann Evans. Question: Who wrote 'To The Lighthouse'?; Answer: Virginia Woolf. Question: Who is the author of 'The Age of Innocence'?; Answer:
Literature,Question: Who wrote 'The Stranger'?; Answer: Albert Camus. Question: Who wrote 'Moby-Dick'?; Answer: Herman Melville. Question: Who is the author of 'The Great Gatsby'?; Answer:
Literature,Question: Who created the character of James Bond?; Answer: Ian Fleming. Question: Who wrote 'Bleak House'?; Answer: Charles Dickens. Question: Who is the author of 'The Wonderful Wizard of Oz'?; Answer:
Literature,Question: Who wrote 'Gone with the Wind'?; Answer: Margaret Mitchell. Question: Who wrote 'Lady Chatterley's Lover'?; Answer: D.H. Lawrence. Question: Who wrote 'Gulliver's Travels'?; Answer:
Literature,"Question: Who wrote 'Things Fall Apart'?; Answer: Chinua Achebe. Question: Who is the author of 'The Grapes of Wrath'?; Answer:  ""John Steinbeck"". Question: Who wrote 'Tom Jones'?; Answer:"
Literature,Question: Who wrote 'The Portrait of a Lady'?; Answer: Henry James. Question: Who is the author of 'The Plague'?; Answer: Albert Camus. Question: Who wrote 'Remembrance of Things Past'?; Answer:
Literature,Question: Who wrote 'Under the Volcano'?; Answer: Malcolm Lowry. Question: Who is the author of 'The Three Musketeers'?; Answer: Alexandre Dumas. Question: Who wrote 'The Call of the Wild'?; Answer:
Literature,Question: Who is the author of 'The Brothers Karamazov'?; Answer: Fyodor Dostoevsky. Question: Who wrote 'The Sun Also Rises'?; Answer: Ernest Hemingway. Question: Who is the author of 'Tess of the d'Urbervilles'?; Answer:
Literature,Question: Who wrote 'The Trial'?; Answer: Franz Kafka. Question: Who wrote 'The Picture of Dorian Gray'?; Answer: Oscar Wilde. Question: What did Ernest Hemingway novel won the Pulitzer Prize in 1953?; Answer:
Literature,"Question: Who wrote 'Absalom, Absalom!'?; Answer: William Faulkner. Question: Who wrote 'Pilgrim at Tinker Creek'?; Answer: Annie Dillard. Question: Who is the author of 'Maus'?; Answer:"
Literature,Question: Who wrote 'The Screwtape Letters'?; Answer: C.S. Lewis. Question: In which Arthur Conan Doyle novel does Sherlock Holmes first appear?; Answer: A Study in Scarlet. Question: Who wrote 'The Chronicles of Narnia'?; Answer:
Literature,Question: Who is the author of 'The Hunger Games'?; Answer: Suzanne Collins. Question: Who wrote 'Beloved'?; Answer: Toni Morrison. Question: Who is the author of 'The Da Vinci Code'?; Answer:
Literature,Question: Who wrote 'Midnight's Children'?; Answer: Salman Rushdie. Question: Who wrote 'Anna Karenina'?; Answer: Leo Tolstoy. Question: Who is the author of 'The Wind in the Willows'?; Answer:
Literature,Question: Who wrote 'Dune'?; Answer: Frank Herbert. Question: Who is the author of 'The Lord of the Rings'?; Answer: J.R.R. Tolkien. Question: Who wrote 'Paradise Lost'?; Answer:
Literature,Question: Who wrote 'Vanity Fair'?; Answer: William Makepeace Thackeray. Question: Who is the author of 'The Girl with the Dragon Tattoo'?; Answer: Stieg Larsson. Question: Who wrote 'The Alchemist'?; Answer:
Literature,Question: Who wrote 'The Prince'?; Answer: Niccolò Machiavelli. Question: Who is the author of 'Jurassic Park'?; Answer: Michael Crichton. Question: Who wrote 'The Stand'?; Answer:
Literature,"Question: Who is the author of 'To the Lighthouse'?; Answer: Virginia Woolf. Question: Who wrote 'The Secret Life of Bees'?; Answer: Sue Monk Kidd. Question: Who is the author of 'I, Robot'?; Answer:"
Literature,Question: Who wrote 'The Idiot'?; Answer: Fyodor Dostoevsky. Question: Who is the author of 'The Phantom of the Opera'?; Answer: Gaston Leroux. Question: Who wrote 'The Sound and the Fury'?; Answer:
Literature,Question: Who is the author of 'The Fault in Our Stars'?; Answer: John Green. Question: Who wrote 'Charlie and the Chocolate Factory'?; Answer: Roald Dahl. Question: Who is the author of 'The Maltese Falcon'?; Answer:
