Type,Question,Answer
"History","When did the Chernobyl disaster happen?","1986"
"History","Who wrote the Iliad and the Odyssey?","Homer"
"History","When did the British Empire abolish the slave trade?","1807"
"History","Who discovered the polio vaccine?","Jonas Salk"
"History","When was the French and Indian War?","1754 - 1763"
"History","Who was the first European to sail around the Cape of Good Hope?","Bartolomeu Dias"
"History","When did the Battle of Hastings occur?","1066"
"History","Who was Pharaoh during the Exodus in the Bible?","The Bible does not name him, but it is often believed to be Ramses II."
"History","When was the era of prohibition in the United States?","1920 - 1933"
"History","Who was the first female Prime Minister of Israel?","Golda Meir"
"History","When was the original Star Wars film released?","1977"
"History","Who completed the first circumnavigation of the Earth?","Juan Sebastián Elcano (he took over after Ferdinand Magellan's death)"
"History","When was the Suez Canal completed?","1869"
"History","Who developed the theory of relativity?","Albert Einstein"
"History","When did the California Gold Rush begin?","1848"
"History","Who led the Argonauts in Greek mythology?","Jason"
"History","When was the Great Plague of London?","1665-1666"
"History","Who wrote the US Pledge of Allegiance?","Francis Bellamy"
"History","When did the ancient Egyptian civilization begin?","Around 3150 B.C."
"History","Who designed the Statue of Liberty?","Frédéric Auguste Bartholdi"
"History","When was the Battle of Thermopylae?","480 BC"
"History","Who was the first Prime Minister of Australia?","Sir Edmund Barton"
"History","When did the Mount St. Helens eruption occur?","1980"
"History","Who wrote the Theory of Evolution?","Charles Darwin"
"History","When was the Bay of Pigs invasion?","1961"
"History","Who was the first king of Israel?","Saul"
"History","When did the Manhattan Project start?","1939"
"History","Who was the first president of the Russian Federation?","Boris Yeltsin"
"History","When was Facebook launched?","2004"
"History","Who discovered Australia?","Captain James Cook"
"History","When was the Silk Road established?","Around 120 BC"
"History","Who was the first Pharaoh of Egypt?","Narmer"
"History","When was the Norman Conquest of England?","1066"
"History","Who was the longest-reigning monarch in history?","Louis XIV of France"
"History","When did Ghana gain independence?","1957"
"History","Who was the Prime Minister of Britain during the signing of the Treaty of Versailles?","David Lloyd George"
"History","When did the Inca Empire fall to the Spanish conquistadors?","1533"
"History","Who was known as the Iron Chancellor?","Otto von Bismarck"
"History","Who is the longest reigning monarch in history?","Louis XIV of France, reigned for 72 years"
"History","Who was the President of the United States during World War I?","Woodrow Wilson"
"History","When did the American Revolution end?","1783"
"History","Who was the leader of the Soviet Union during World War II?","Joseph Stalin"
"History","Who was the queen of England during the Spanish Armada?","Queen Elizabeth I"
"History","When did New Zealand gain independence?","1907"
"History","Who invented the World Wide Web?","Tim Berners-Lee"
"History","Which civil rights activist refused to give up her bus seat in Montgomery in 1955?","Rosa Parks"
"History","When was the pacemaker invented?","1950"
"History","Who assassinated Archduke Franz Ferdinand?","Gavrilo Princip"
"History","When did the Spanish Civil War end?","1939"
"History","Who wrote the American Bill of Rights?","James Madison"
"History","When did the United Nations charter come into effect?","1945"
"History","Who was the king of England during the American Revolution?","King George III"
"History","When was the Islamic Golden Age?","8th to 14th century"
"History","Who was the first female justice on the U.S. Supreme Court?","Sandra Day O'Connor"
"History","When was slavery abolished in the U.S.?","1865"
"History","Who was the first explorer to reach the South Pole?","Roald Amundsen"
"History","When did the Cuban Missile Crisis occur?","1962"
"History","Who was the first democratically elected President of Russia?","Boris Yeltsin"
"History","When did India and Pakistan gain independence from Britain?","1947"
"History","Who was the first American astronaut to orbit the Earth?","John Glenn"
"History","When was the atom first split?","1938"
"History","Who discovered penicillin?","Alexander Fleming"
"History","When did China become the People's Republic of China?","1949"
"History","Who was the Roman Emperor at the time of Christ's birth?","Augustus Caesar"
"History","When did the Berlin Wall fall?","1989"
"History","Who had the last successful invasion of England?","William the Conqueror"
"History","When did Canada become a nation?","1867"
"History","Who won the Space Race?","The USSR, by launching the first man into space"
"History","When was the Magna Carta signed?","1215"
"History","Who was the first President of Indonesia?","Sukarno"
"History","When did the Hundred Years War end?","1453"
"History","Who were the Axis Powers in WWII?","Germany, Italy, and Japan"
"History","When were the Hawaiian islands discovered by Europeans?","January 18, 1778, by James Cook"
"History","Who was president during the Louisiana Purchase?","Thomas Jefferson"
"History","When was the Battle of Gettysburg?","July 1-3, 1863"
"History","Who was the British Prime Minister at the start of World War II?","Neville Chamberlain"
"History","When did South Africa gain its independence?","May 31, 1910"
"History","Who was Martin Luther King Jr.?","An American civil rights leader"
"History","When was the Declaration of Independence signed?","July 4, 1776"
"History","Who led the Continental Army in the American Revolution?","George Washington"
"History","When was the League of Nations founded?","1920"
"History","Who was the first African American Major League Baseball player?","Jackie Robinson"
"History","When did World War II end?","1945"
"History","Who was the emperor of Japan during World War II?","Emperor Hirohito"
"History","When did Vladimir Lenin die?","1924"
"History","Who physical discovered the North Pole?","Robert Peary"
"History","When was the French revolution?","1789-1799"
"History","Who was the Roman Emperor during the Great Fire of Rome?","Nero"
"History","When were the pyramids at Giza built?","Around 2580-2560 BC"
"History","Who is the Prima ballerina of ballerina of the Bolshoi Ballet in 1960?","Maya Plisetskaya"
"History","When did Prohibition Begin and End?","Begun in 1920 and ended in 1933"
"History","Who led the Russian revolution?","Vladimir Lenin"
"History","When did the Vietnam War end?","1975"
"History","Who was the head of the Catholic Church during the Second Vatican Council?","Pope John XXIII"
"History","When was the Suez canal completed?","1869"
"History","Who was the longest reigning Pope?","Pope Saint Peter"
"History","When did Finland gain its independence?","1917"
"History","Who was the first President of Egypt?","Muhammad Naguib"
"History","When did the first European settlers arrive in Australia?","1788"
"History","Who discovered Machu Picchu?","Hiram Bingham III"
"History","When did the atomic bombing of Hiroshima occur?","1945"
"History","Who painted the Mona Lisa?","Leonardo da Vinci"
"History","When did the major volcanic eruption on Krakatoa occur?","1883"
"History","Who was the leader of the Nazi Party?","Adolf Hitler"
"History","When was Apollo 11 launched?","1969"
"History","Who was the first European to reach the Americas?","Leif Erikson, though Christopher Columbus is often credited"
"History","When was the Constitution of the United States ratified?","1788"
"History","Who was the founder of the Mongol Empire?","Genghis Khan"
"History","When did the Roman Empire fall?","476 AD"
"History","Who was the President of the Confederate States during the American Civil War?","Jefferson Davis"
"History","When was the Louvre Museum established?","1793"
"Geography","What is the capital of Australia?","Canberra"
"Geography","What country has the largest land area?","Russia"
"Geography","What river runs through Egypt?","The Nile"
"Geography","What is the highest peak in North America?","Denali"
"Geography","What is the most densely populated city in the world?","Manila"
"Geography","Which ocean is off the California coast?","The Pacific Ocean"
"Geography","Which country is the smallest in the world?","Vatican City"
"Geography","What is the capital of Canada?","Ottawa"
"Geography","What is the largest desert in the world?","The Sahara Desert"
"Geography","What is the longest river in the world?","The Nile"
"Geography","What country has the most lakes?","Canada"
"Geography","What is the highest mountain in Africa?","Mount Kilimanjaro"
"Geography","What is the capital of Spain?","Madrid"
"Geography","Which country is both an island and a continent?","Australia"
"Geography","What is the capital of Germany?","Berlin"
"Geography","What is the largest country in Africa by land area?","Algeria"
"Geography","What is the capital of Japan?","Tokyo"
"Geography","What is the second longest river in the world?","The Amazon River"
"Geography","What is the capital of India?","New Delhi"
"Geography","What is the largest lake in Africa?","Lake Victoria"
"Geography","What is the capital of Brazil?","Brasília"
"Geography","What is the deepest lake in the world?","Lake Baikal"
"Geography","What is the capital of China?","Beijing"
"Geography","Which sea is the saltiest?","The Red Sea"
"Geography","What is the capital of Italy?","Rome"
"Geography","What river runs through London?","The River Thames"
"Geography","What is the capital of France?","Paris"
"Geography","What is the largest island in the Caribbean?","Cuba"
"Geography","What is the capital of Russia?","Moscow"
"Geography","What is the lowest point on Earth?","The Challenger Deep in the Mariana Trench"
"Geography","What is the capital of the United States?","Washington, D.C."
"Geography","What is the longest river in the United States?","The Missouri River"
"Geography","What is the capital of Greece?","Athens"
"Geography","What is the largest lake in the world?","The Caspian Sea"
"Geography","What is the capital of Sweden?","Stockholm"
"Geography","What lake is shared by Uganda, Kenya, and Tanzania?","Lake Victoria"
"Geography","What is the capital of Egypt?","Cairo"
"Geography","What is the world's most active volcano?","Kilauea"
"Geography","What is the capital of Mexico?","Mexico City"
"Geography","Which country has the longest coastline?","Canada"
"Geography","What is the capital of Portugal?","Lisbon"
"Geography","Which country has the most natural resources?","Russia"
"Geography","What is the capital of Finland?","Helsinki"
"Geography","Where is Mount Everest located?","Nepal"
"Geography","What is the capital of Ireland?","Dublin"
"Geography","What is the largest peninsula in the world?","The Arabian Peninsula"
"Geography","What is the capital of Saudi Arabia?","Riyadh"
"Geography","What is the driest place on earth?","Atacama Desert"
"Geography","What is the capital of Iran?","Tehran"
"Geography","What is the most populous country in the world?","China"
"Geography","What is the capital of Israel?","Jerusalem"
"Geography","Which US state is the largest by land area?","Alaska"
"Geography","What is the capital of Turkey?","Ankara"
"Geography","What is the world's largest coral reef system?","Great Barrier Reef"
"Geography","What is the capital of Argentina?","Buenos Aires"
"Geography","What is the shallowest ocean in the world?","The Arctic Ocean"
"Geography","What is the capital of Greenland?","Nuuk"
"Geography","What is the largest bay in the world?","The Bay of Bengal"
"Geography","What is the capital of South Africa?","Pretoria, Bloemfontein, and Cape Town"
"Geography","What is the coldest place on earth?","Antarctica. Specifically, a high ridge in Antarctica."
"Geography","What is the capital of Nigeria?","Abuja"
"Geography","What is the largest delta in the world?","The Ganges Delta"
"Geography","What is the capital of South Korea?","Seoul"
"Geography","What is the longest mountain range in the world?","The Andes"
"Geography","What is the capital of North Korea?","Pyongyang"
"Geography","What is the biggest island in the world?","Greenland"
"Geography","What is the capital of Iceland?","Reykjavik"
"Geography","Which is the largest ocean on Earth?","The Pacific Ocean"
"Geography","What is the capital of Malaysia?","Kuala Lumpur"
"Geography","What US state has the longest coastline?","Alaska"
"Geography","What is the capital of Singapore?","Singapore"
"Geography","What country has the most islands?","Sweden"
"Geography","What is the capital of Dominican Republic?","Santo Domingo"
"Geography","Where are the world's highest waterfalls?","Angel Falls, Venezuela"
"Geography","What is the capital of Kenya?","Nairobi"
"Geography","What is the largest volcano on Earth?","Mauna Loa, Hawaii"
"Geography","What is the capital of Thailand?","Bangkok"
"Geography","What country is named 'the roof of the world'?","Tibet"
"Geography","What is the capital of Indonesia?","Jakarta"
"Geography","What is the longest wall in the world?","Great Wall of China"
"Geography","What is the capital of Morocco?","Rabat"
"Geography","What is the lowest country in the world?","Maldives"
"Geography","What is the capital of Peru?","Lima"
"Geography","What country is Machu Picchu located in?","Peru"
"Geography","What is the capital of Australia?","Canberra"
"Geography","What is the largest cave in the world?","Son Doong Cave, Vietnam"
"Geography","What is the capital of Chile?","Santiago"
"Geography","What is the widest river in the world?","Amazon River"
"Geography","What is the capital of Denmark?","Copenhagen"
"Geography","What country has the most pyramids?","Sudan"
"Geography","What is the capital of Cuba?","Havana"
"Geography","What is the largest plateau in the world?","Tibetan Plateau"
"Geography","What is the capital of Pakistan?","Islamabad"
"Geography","What country has the most time zones?","France"
"Geography","What is the capital of New Zealand?","Wellington"
"Geography","What country has the longest river?","Egypt, with the Nile River"
"Geography","What is the capital of Austria?","Vienna"
"Geography","What is the longest reef on Earth?","Great Barrier Reef, Australia"
"Geography","What is the capital of Norway?","Oslo"
"Geography","What is the smallest ocean in the world?","Arctic Ocean"
"Geography","What is the capital of Switzerland?","Bern"
"Geography","Where is Mount Kilimanjaro located?","Tanzania"
"Geography","What is the capital of Netherlands?","Amsterdam"
"Geography","What is the largest lake in South America?","Lake Titicaca"
"Geography","What is the capital of Philippines?","Manila"
"Geography","What is the largest gulf in the world?","The Gulf of Mexico"
"Geography","What is the capital of Belgium?","Brussels"
"Geography","What continent has the most countries?","Africa"
"Geography","What is the capital of Algeria?","Algiers"
"Geography","What is the longest river in Europe?","Volga River"
"Geography","What is the capital of Vietnam?","Hanoi"
"Geography","What is the highest waterfall in the world?","Angel Falls, Venezuela"
"Geography","What is the capital of Argentina?","Buenos Aires"
"Geography","What country has the most volcanoes?","Indonesia"
"Geography","What is the capital of Colombia?","Bogota"
"Geography","What is the largest forest in the world?","The Amazon Rainforest"
"Geography","What is the capital of Iraq?","Baghdad"
"Geography","In which country can you find the K2 mountain?","Pakistan"
"Geography","What is the capital of Afghanistan?","Kabul"
"Geography","What country has the most UNESCO World Heritage sites?","Italy"
"Geography","What is the capital of Sweden?","Stockholm"
"Geography","What is the smallest country in Asia by land area?","Maldives"
"Geography","What is the capital of Finland?","Helsinki"
"Geography","What is the hottest place on Earth?","Lut Desert, Iran"
"Geography","What is the capital of Ukraine?","Kyiv"
"Geography","Where is the Atacama Desert located?","Chile"
"Geography","What is the capital of Taiwan?","Taipei"
"Geography","What is the largest country in the Western Hemisphere by land area?","Canada"
"Geography","What is the capital of South Sudan?","Juba"
"Geography","What is the second largest country in the world?","Canada"
"Geography","What is the capital of Zambia?","Lusaka"
"Geography","What is the longest continental mountain range in the world?","Andes"
"Geography","What is the capital of Ethiopia?","Addis Ababa"
"Geography","Where is the world's largest salt flat?","Salar de Uyuni, Bolivia"
"Geography","What is the capital of Greece?","Athens"
"Geography","What is the largest country in the Middle East?","Saudi Arabia"
"Geography","What is the capital of North Macedonia?","Skopje"
"Geography","Who is the largest producer of coffee in the world?","Brazil"
"Geography","What is the capital of Poland?","Warsaw"
"Geography","What is the largest non-polar desert in the world?","Sahara"
"Geography","What is the capital of Hungary?","Budapest"
"Geography","What is the highest lake in the world?","Lake Titicaca"
"Geography","What is the capital of Nepal?","Kathmandu"
"Geography","In which country would you find the Angel Falls?","Venezuela"
"Geography","What is the capital of Lebanon?","Beirut"
"Geography","What is the longest country in the world?","Chile"
"Geography","What is the capital of Slovenia?","Ljubljana"
"Geography","What country has the biggest population in Europe?","Russia"
"Geography","What is the capital of Latvia?","Riga"
"Geography","What country has the most natural gas reserves?","Russia"
"Geography","What is the capital of Syria?","Damascus"
"Geography","What is the biggest port in the world?","Port of Shanghai, China"
"Geography","What is the capital of Tibet?","Lhasa"
"Geography","What is the largest coral atoll in the world?","Kwajalein, Marshall Islands"
"Geography","What is the capital of Bhutan?","Thimphu"
"Geography","What is the largest river basin in the world?","Amazon Basin"
"Geography","What is the capital of Serbia?","Belgrade"
"Geography","What is the highest navigable lake in the world?","Lake Titicaca"
"Geography","What is the capital of Armenia?","Yerevan"
"Geography","What is the deepest point in the ocean?","Challenger deep in the Mariana Trench"
"Geography","What is the capital of Uruguay?","Montevideo"
"Geography","What is the world's largest inland sea?","Caspian Sea"
"Geography","What is the capital of Jordan?","Amman"
"Geography","On which continent is the world's longest river, the Nile?","Africa"
"Geography","What is the capital of Paraguay?","Asunción"
"Geography","In which country is the world's highest volcano, Ojos del Salado?","Chile-Argentina border"
"Literature","Who wrote 'To Kill a Mockingbird'?","Harper Lee"
"Literature","What is the famous novel of F. Scott Fitzgerald?","The Great Gatsby"
"Literature","Who is the author of '1984'?","George Orwell"
"Literature","'Moby Dick' is a novel by which author?","Herman Melville"
"Literature","Who wrote 'Pride and Prejudice'?","Jane Austen"
"Literature","What is Shakespeare's earliest tragedy?","Titus Andronicus"
"Literature","What epic poem was written by Dante?","The Divine Comedy"
"Literature","Who wrote 'The Odyssey'?","Homer"
"Literature","In what novel do you find the character Harry Potter?","Harry Potter series by J.K. Rowling"
"Literature","Who is the author of 'A Tale Of Two Cities'?","Charles Dickens"
"Literature","Who wrote the play 'Waiting for Godot'?","Samuel Beckett"
"Literature","'Les Miserables' is a work by which author?","Victor Hugo"
"Literature","What is the famous novel of Leo Tolstoy?","War and Peace"
"Literature","Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky"
"Literature","Who is the author of 'The Iliad'?","Homer"
"Literature","What are the four novels of 'The Rabbit Series' by John Updike?","Rabbit, Run; Rabbit Redux; Rabbit is Rich; Rabbit at Rest"
"Literature","Who wrote 'The Catcher in the Rye'?","J.D. Salinger"
"Literature","Who is the author of 'Of Mice and Men'?","John Steinbeck"
"Literature","What is Ernest Hemingway's novel about the Spanish Civil War?","For Whom the Bell Tolls"
"Literature","Who wrote 'Sense and Sensibility'?","Jane Austen"
"Literature","What book series did C.S. Lewis write?","The Chronicles of Narnia"
"Literature","Who wrote 'The Grapes of Wrath'?","John Steinbeck"
"Literature","Who is the author of 'War and Peace'?","Leo Tolstoy"
"Literature","Who wrote 'The Great Expectations'?","Charles Dickens"
"Literature","Who is the author of 'Dracula'?","Bram Stoker"
"Literature","Who wrote 'David Copperfield'?","Charles Dickens"
"Literature","Who is the author of 'The Little Prince'?","Antoine de Saint-Exupéry"
"Literature","Who wrote 'The Hobbit'?","J.R.R. Tolkien"
"Literature","Who is the author of 'Mansfield Park'?","Jane Austen"
"Literature","Who wrote 'The Adventures of Tom Sawyer'?","Mark Twain"
"Literature","Who is the author of 'Oliver Twist'?","Charles Dickens"
"Literature","Who wrote 'Around the World in Eighty Days'?","Jules Verne"
"Literature","Who is the author of 'Hamlet'?","William Shakespeare"
"Literature","Who wrote 'The Secret Garden'?","Frances Hodgson Burnett"
"Literature","Who is the author of 'Don Quixote'?","Miguel de Cervantes Saavedra"
"Literature","Who wrote 'Frankenstein'?","Mary Shelley"
"Literature","Who is the author of 'The Color Purple'?","Alice Walker"
"Literature","What epic poem was written by John Milton?","Paradise Lost"
"Literature","Who is the author of 'Pilgrim's Progress'?","John Bunyan"
"Literature","Who wrote 'Catch-22'?","Joseph Heller"
"Literature","Who is the author of 'Emma'?","Jane Austen"
"Literature","Who wrote 'Lolita'?","Vladimir Nabokov"
"Literature","Who is the author of 'The Tempest'?","William Shakespeare"
"Literature","Who wrote 'Heart of Darkness'?","Joseph Conrad"
"Literature","Who is the author of 'The Scarlet Letter'?","Nathaniel Hawthorne"
"Literature","Who wrote 'Ulysses'?","James Joyce"
"Literature","Who is the author of 'Middlemarch'?","George Eliot"
"Literature","Who wrote 'The Metamorphosis'?","Franz Kafka"
"Literature","Who is the author of 'Anne of Green Gables'?","L. M. Montgomery"
"Literature","Who wrote 'The Jungle Book'?","Rudyard Kipling"
"Literature","What is Mark Twain's real name?","Samuel Clemens"
"Literature","Who wrote 'Wuthering Heights'?","Emily Brontë"
"Literature","Who wrote 'Madame Bovary'?","Gustave Flaubert"
"Literature","Who is the author of 'Persuasion'?","Jane Austen"
"Literature","Who wrote 'Slaughterhouse-Five'?","Kurt Vonnegut"
"Literature","Who wrote 'A Farewell to Arms'?","Ernest Hemingway"
"Literature","What novel starts with the line 'It was a bright cold day in April, and the clocks were striking thirteen.'?","1984 by George Orwell"
"Literature","Who wrote 'Treasure Island'?","Robert Louis Stevenson"
"Literature","Who is the author of 'Moby-Dick'?","Herman Melville"
"Literature","What epic poem was written by Homer?","The Odyssey"
"Literature","Who wrote 'A Streetcar Named Desire'?","Tennessee Williams"
"Literature","Who wrote 'The Old Man and the Sea'?","Ernest Hemingway"
"Literature","Who is the author of 'A Clockwork Orange'?","Anthony Burgess"
"Literature","Who wrote 'Brave New World'?","Aldous Huxley"
"Literature","In which Ray Bradbury novel does the protagonist work as a 'fireman'?","Fahrenheit 451"
"Literature","Who wrote 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez"
"Literature","What is the real name of George Eliot?","Mary Ann Evans"
"Literature","Who wrote 'To The Lighthouse'?","Virginia Woolf"
"Literature","Who is the author of 'The Age of Innocence'?","Edith Wharton"
"Literature","Who wrote 'The Stranger'?","Albert Camus"
"Literature","Who wrote 'Moby-Dick'?","Herman Melville"
"Literature","Who is the author of 'The Great Gatsby'?","F. Scott Fitzgerald"
"Literature","Who created the character of James Bond?","Ian Fleming"
"Literature","Who wrote 'Bleak House'?","Charles Dickens"
"Literature","Who is the author of 'The Wonderful Wizard of Oz'?","L. Frank Baum"
"Literature","Who wrote 'Gone with the Wind'?","Margaret Mitchell"
"Literature","Who wrote 'Lady Chatterley's Lover'?","D.H. Lawrence"
"Literature","Who wrote 'Gulliver's Travels'?","Jonathan Swift"
"Literature","Who wrote 'Things Fall Apart'?","Chinua Achebe"
"Literature","Who is the author of 'The Grapes of Wrath'?", "John Steinbeck"
"Literature","Who wrote 'Tom Jones'?","Henry Fielding"
"Literature","Who wrote 'The Portrait of a Lady'?","Henry James"
"Literature","Who is the author of 'The Plague'?","Albert Camus"
"Literature","Who wrote 'Remembrance of Things Past'?","Marcel Proust"
"Literature","Who wrote 'Under the Volcano'?","Malcolm Lowry"
"Literature","Who is the author of 'The Three Musketeers'?","Alexandre Dumas"
"Literature","Who wrote 'The Call of the Wild'?","Jack London"
"Literature","Who is the author of 'The Brothers Karamazov'?","Fyodor Dostoevsky"
"Literature","Who wrote 'The Sun Also Rises'?","Ernest Hemingway"
"Literature","Who is the author of 'Tess of the d'Urbervilles'?","Thomas Hardy"
"Literature","Who wrote 'The Trial'?","Franz Kafka"
"Literature","Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde"
"Literature","What did Ernest Hemingway novel won the Pulitzer Prize in 1953?","The Old Man and the Sea"
"Literature","Who wrote 'Absalom, Absalom!'?","William Faulkner"
"Literature","Who wrote 'Pilgrim at Tinker Creek'?","Annie Dillard"
"Literature","Who is the author of 'Maus'?","Art Spiegelman"
"Literature","Who wrote 'The Screwtape Letters'?","C.S. Lewis"
"Literature","In which Arthur Conan Doyle novel does Sherlock Holmes first appear?","A Study in Scarlet"
"Literature","Who wrote 'The Chronicles of Narnia'?","C.S. Lewis"
"Literature","Who is the author of 'The Hunger Games'?","Suzanne Collins"
"Literature","Who wrote 'Beloved'?","Toni Morrison"
"Literature","Who is the author of 'The Da Vinci Code'?","Dan Brown"
"Literature","Who wrote 'Midnight's Children'?","Salman Rushdie"
"Literature","Who wrote 'Anna Karenina'?","Leo Tolstoy"
"Literature","Who is the author of 'The Wind in the Willows'?","Kenneth Grahame"
"Literature","Who wrote 'Dune'?","Frank Herbert"
"Literature","Who is the author of 'The Lord of the Rings'?","J.R.R. Tolkien"
"Literature","Who wrote 'Paradise Lost'?","John Milton"
"Literature","Who wrote 'Vanity Fair'?","William Makepeace Thackeray"
"Literature","Who is the author of 'The Girl with the Dragon Tattoo'?","Stieg Larsson"
"Literature","Who wrote 'The Alchemist'?","Paulo Coelho"
"Literature","Who wrote 'The Prince'?","Niccolò Machiavelli"
"Literature","Who is the author of 'Jurassic Park'?","Michael Crichton"
"Literature","Who wrote 'The Stand'?","Stephen King"
"Literature","Who is the author of 'To the Lighthouse'?","Virginia Woolf"
"Literature","Who wrote 'The Secret Life of Bees'?","Sue Monk Kidd"
"Literature","Who is the author of 'I, Robot'?","Isaac Asimov"
"Literature","Who wrote 'The Idiot'?","Fyodor Dostoevsky"
"Literature","Who is the author of 'The Phantom of the Opera'?","Gaston Leroux"
"Literature","Who wrote 'The Sound and the Fury'?","William Faulkner"
"Literature","Who is the author of 'The Fault in Our Stars'?","John Green"
"Literature","Who wrote 'Charlie and the Chocolate Factory'?","Roald Dahl"
"Literature","Who is the author of 'The Maltese Falcon'?","Dashiell Hammett"
"Literature","Who wrote 'The Adventures of Huckleberry Finn'?","Mark Twain"
"Literature","Who is the author of 'Catch-22'?","Joseph Heller"
"Literature","Who wrote 'The Jungle'?","Upton Sinclair"
"Literature","Who is the author of 'Twenty Thousand Leagues Under the Sea'?","Jules Verne"
"Literature","Who wrote 'Fahrenheit 451'?","Ray Bradbury"
"Literature","Who is the author of 'The Giver'?","Lois Lowry"
"Literature","Who wrote 'Animal Farm'?","George Orwell"
"Literature","Who is the author of 'The Invisible Man'?","H.G. Wells"
"Literature","Who wrote 'Ender's Game'?","Orson Scott Card"
"Literature","Who is the author of 'The Bell Jar'?","Sylvia Plath"
"Literature","Who wrote 'The Scarlet Pimpernel'?","Baroness Orczy"
"Literature","Who is the author of 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Literature","Who wrote 'The Importance of Being Earnest'?","Oscar Wilde"
"Literature","Who is the author of 'Nineteen Eighty-Four'?","George Orwell"
"Literature","Who wrote 'Little Women'?","Louisa May Alcott"
"Literature","Who is the author of 'The Color Purple'?","Alice Walker"
